~~BEGIN-OS-INFORMATION~~
STAT_NAME                                                    STAT_VALUE
------------------------------------------------------------ ------------------------------------------------------------
PHYSICAL_MEMORY_GB                                           756.56
NUM_CPU_SOCKETS                                              2
NUM_CPU_CORES                                                16
NUM_CPUS                                                     32
!CPU_COUNT                                                   32
!CPU_CORE_COUNT                                              16
!CPU_SOCKET_COUNT                                            2
!PLATFORM_NAME                                               Linux x86 64-bit
PLATFORM_NAME                                                Linux_x86_64-bit
VERSION                                                      11.2.0.4.0
DB_NAME                                                      G123A
DBID                                                         4280977828
INSTANCES                                                    1
HOSTS                                                        lnbrorad03
MODULE                                                       SQL*Plus
AWR_MINER_VER                                                5.0.8
~~END-OS-INFORMATION~~
Elapsed: 00:00:00.15



~~BEGIN-PATCH-HISTORY~~

      RNUM ACTION_TIME              ACTION                         NAMESPACE                      VERSION                                ID BUNDLE_SERIES                  COMMENTS
---------- ------------------------ ------------------------------ ------------------------------ ------------------------------ ---------- ------------------------------ --------------------------------------------------------------------------------
        54 2019-05-26 18:09:44      APPLY                                                                                          25344801                                Patch 25344801 applied
        53 2019-05-26 18:02:16      APPLY                                                                                          20724902                                Patch 20724902 applied
        52 2019-05-26 18:02:14      APPLY                                                                                           9199532                                Patch 9199532 applied
        51 2019-05-26 18:01:53      APPLY                                                                                          27068394                                Patch 27068394 applied
        50 2019-05-26 18:01:41      APPLY                          SERVER                         11.2.0.4                           181016 PSU                            PSU 11.2.0.4.181016
        49 2018-10-21 20:06:20      APPLY                                                                                          25344801                                Patch 25344801 applied
        47 2018-10-21 19:57:46      APPLY                                                                                           9199532                                Patch 9199532 applied
        48 2018-10-21 19:57:46      APPLY                                                                                          20724902                                Patch 20724902 applied
        46 2018-10-21 19:57:26      APPLY                                                                                          27068394                                Patch 27068394 applied
        45 2018-10-21 19:57:22      APPLY                          SERVER                         11.2.0.4                           180717 PSU                            PSU 11.2.0.4.180717

~~END-PATCH-HISTORY~~
Elapsed: 00:00:00.02



~~BEGIN-MODULE~~

MODULE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SQL*Plus

~~END-MODULE~~
Elapsed: 00:00:00.01

~~BEGIN-SNAP-HISTORY~~

  SNAP_MIN   SNAP_MAX        CNT INST_COUNT ERROR_COUNT
---------- ---------- ---------- ---------- -----------
     44982      45181        200          1           0

~~END-SNAP-HISTORY~~
Elapsed: 00:00:00.01

~~BEGIN-MEMORY~~

   SNAP_ID INSTANCE_NUMBER        SGA        PGA      TOTAL
---------- --------------- ---------- ---------- ----------
     44982               1        1.3         .3        1.6
     44983               1        1.3         .3        1.6
     44984               1        1.3         .3        1.6
     44985               1        1.3         .3        1.6
     44986               1        1.3         .3        1.6
     44987               1        1.3         .3        1.6
     44988               1        1.3         .3        1.6
     44989               1        1.3         .3        1.6
     44990               1        1.3         .3        1.6
     44991               1        1.3         .3        1.6
     44992               1        1.3         .3        1.6
     44993               1        1.3         .3        1.6
     44994               1        1.3         .3        1.6
     44995               1        1.3         .3        1.6
     44996               1        1.3         .3        1.6
     44997               1        1.3         .3        1.6
     44998               1        1.3         .3        1.6
     44999               1        1.3         .3        1.6
     45000               1        1.3         .3        1.6
     45001               1        1.3         .3        1.6
     45002               1        1.3         .3        1.6
     45003               1        1.3         .3        1.6
     45004               1        1.3         .3        1.6
     45005               1        1.3         .3        1.6
     45006               1        1.3         .3        1.6
     45007               1        1.3         .3        1.6
     45008               1        1.3         .3        1.6
     45009               1        1.3         .3        1.6
     45010               1        1.3         .3        1.6
     45011               1        1.3         .3        1.6
     45012               1        1.3         .3        1.6
     45013               1        1.3         .3        1.6
     45014               1        1.3         .3        1.6
     45015               1        1.3         .3        1.6
     45016               1        1.3         .3        1.6
     45017               1        1.3         .3        1.6
     45018               1        1.3         .3        1.6
     45019               1        1.3         .3        1.6
     45020               1        1.3         .3        1.6
     45021               1        1.3         .3        1.6
     45022               1        1.3         .3        1.6
     45023               1        1.3         .3        1.6
     45024               1        1.3         .3        1.6
     45025               1        1.3         .3        1.6
     45026               1        1.3         .3        1.6
     45027               1        1.3         .3        1.6
     45028               1        1.3         .3        1.6
     45029               1        1.3         .3        1.6
     45030               1        1.3         .3        1.6
     45031               1        1.3         .3        1.6
     45032               1        1.3         .3        1.6
     45033               1        1.3         .3        1.6
     45034               1        1.3         .3        1.6
     45035               1        1.3         .3        1.6
     45036               1        1.3         .3        1.6
     45037               1        1.3         .3        1.6
     45038               1        1.3         .3        1.6
     45039               1        1.3         .3        1.6
     45040               1        1.3         .3        1.6
     45041               1        1.3         .3        1.6
     45042               1        1.3         .3        1.6
     45043               1        1.3         .3        1.6
     45044               1        1.3         .3        1.6
     45045               1        1.3         .3        1.6
     45046               1        1.3         .3        1.6
     45047               1        1.3         .3        1.6
     45048               1        1.3         .3        1.6
