   SNAP_ID INSTANCE_NUMBER SGA_TARGET_GB SIZE_FACTOR ESTD_PHYSICAL_READS LEAD_READ_DIFF
---------- --------------- ------------- ----------- ------------------- --------------
    128070               2             3         .75            76887721        9116454
    128070               2           3.5        .875            67771267        7556903
    128070               2             4           1            60214364        5870900
    128070               2           4.5       1.125            54343464        4877364
    128070               2             5        1.25            49466100        5605957
    128070               2           5.5       1.375            43860143        6587452
    128070               2             6         1.5            37272691        3402111
    128070               2             8           2            33870580              0
    128071               2           1.5        .375           584510149      467731141
    128071               2             2          .5           116779008       31592151
    128071               2           2.5        .625            85186857        6181876
    128071               2             3         .75            79004981        9564991
    128071               2           3.5        .875            69439990        7928793
    128071               2             4           1            61511197        6114213
    128071               2           4.5       1.125            55396984        2651133
    128071               2             5        1.25            52745851        8242500
    128071               2           5.5       1.375            44503351        3303151
    128071               2             6         1.5            41200200        6889254
    128071               2             8           2            34310946              0
    128072               2           1.5        .375           585152234      468183385
    128072               2             2          .5           116968849       31624524
    128072               2           2.5        .625            85344325        6227579
    128072               2             3         .75            79116746        9578522
    128072               2           3.5        .875            69538224        7940010
    128072               2             4           1            61598214        6122862
    128072               2           4.5       1.125            55475352        2661043
    128072               2             5        1.25            52814309        4626026
    128072               2           5.5       1.375            48188283        6948279
    128072               2             6         1.5            41240004        6899000
    128072               2             8           2            34341004              0

~~END-MEMORY-SGA-ADVICE~~
Elapsed: 00:00:00.93



~~BEGIN-MEMORY-PGA-ADVICE~~

   SNAP_ID INSTANCE_NUMBER PGA_TARGET_GB SIZE_FACTOR ESTD_EXTRA_MB_RW LEAD_SIZE_DIFF_MB ESTD_PGA_CACHE_HIT_PERCENTAGE
---------- --------------- ------------- ----------- ---------------- ----------------- -----------------------------
    128056               2            .3        .125          31032.3           29094.8                            84
    128056               2            .5         .25           1937.5              44.1                            99
    128056               2             2           1           1893.4            1893.4                            99
    128056               2            16           8                0                 0                           100
    128057               2            .3        .125          31040.8           29103.2                            84
    128057               2            .5         .25           1937.5              44.1                            99
    128057               2             2           1           1893.4            1893.4                            99
    128057               2            16           8                0                 0                           100
    128058               2            .3        .125          31044.2           29106.7                            84
    128058               2            .5         .25           1937.5              44.1                            99
    128058               2             2           1           1893.4            1893.4                            99
    128058               2            16           8                0                 0                           100
    128059               2            .3        .125          31044.2           29106.7                            84
    128059               2            .5         .25           1937.5              44.1                            99
    128059               2             2           1           1893.4            1893.4                            99
    128059               2            16           8                0                 0                           100
    128060               2            .3        .125          31047.6           29110.1                            84
    128060               2            .5         .25           1937.5              44.1                            99
    128060               2             2           1           1893.4            1893.4                            99
    128060               2            16           8                0                 0                           100
    128067               2            .3        .125          31361.4           29423.9                            84
    128067               2            .5         .25           1937.5              44.1                            99
    128067               2             2           1           1893.4            1893.4                            99
    128067               2            16           8                0                 0                           100
    128069               2            .3        .125          31929.7           29992.2                            84
    128069               2            .5         .25           1937.5              44.1                            99
    128069               2             2           1           1893.4            1893.4                            99
    128069               2            16           8                0                 0                           100
    128070               2            .3        .125          32339.7           30402.2                            84
    128070               2            .5         .25           1937.5              44.1                            99
    128070               2             2           1           1893.4            1893.4                            99
    128070               2            16           8                0                 0                           100
    128071               2            .3        .125          32592.2           30654.7                            84
    128071               2            .5         .25           1937.5              44.1                            99
    128071               2             2           1           1893.4            1893.4                            99
    128071               2            16           8                0                 0                           100
    128072               2            .3        .125            32904           30966.5                            84
    128072               2            .5         .25           1937.5              44.1                            99
    128072               2             2           1           1893.4            1893.4                            99
    128072               2            16           8                0                 0                           100

~~END-MEMORY-PGA-ADVICE~~
Elapsed: 00:00:00.42



~~BEGIN-SIZE-ON-DISK~~

   SNAP_ID    SIZE_GB
---------- ----------
    128066     2394.6
    128067     2394.6
    128068     2394.6
    128069     2394.6
    128070     2394.6
    128071     2394.6
    128072     2394.6
    128073     2394.6

~~END-SIZE-ON-DISK~~
Elapsed: 00:00:00.69



~~BEGIN-OSSTAT~~

   SNAP_ID INSTANCE_NUMBER       load       cpus      cores    sockets     mem_gb mem_free_gb       idle       busy       user        sys     iowait       nice   cpu_wait rsrc_mgr_wait      vm_in     vm_out  cpu_count
---------- --------------- ---------- ---------- ---------- ---------- ---------- ----------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ------------- ---------- ---------- ----------
    128056               2        2.5          8          4          2      32768             1602118244  679275948  396042323  283233625          0             144922800          1097 8.8740E+10   52789248          8
    128057               2        3.1          8          4          2      32768             1602845307  679629709  396226437  283403272          0             144969800          1097 8.8753E+10   52838400          8
    128058               2        2.8          8          4          2      32768             1603756149  680123404  396473571  283649833          0             145070700          1097 8.8807E+10   52871168          8
    128059               2        2.1          8          4          2      32768             1604766188  680577561  396726588  283850973          0             145164400          1097 8.8832E+10   52871168          8
    128060               2        2.3          8          4          2      32768             1605787416  680970420  396955320  284015100          0             145238100          1097 8.8922E+10   52944896          8
    128061               2        1.7          8          4          2      32768             1606883337  681331904  397170500  284161404          0             145308200          1097 8.8954E+10   53010432          8
    128062               2          2          8          4          2      32768             1607972708  681704679  397385244  284319435          0             145370800          1097 8.9070E+10   53051392          8
    128063               2        1.9          8          4          2      32768             1609042328  682051493  397582906  284468587          0             145430100          1097 8.9189E+10   53133312          8
    128064               2        1.7          8          4          2      32768             1610084489  682464188  397823832  284640356          0             145524000          1097 8.9240E+10   53198848          8
    128065               2        1.6          8          4          2      32768             1611143701  682831155  398045545  284785610          0             145610300          1097 8.9294E+10   53248000          8
    128066               2          2          8          4          2      32768             1612224466  683169302  398233467  284935835          0             145686100          1097 8.9388E+10   53280768          8
    128067               2        2.2          8          4          2      32768             1660124688  704788218  410521448  294266770          0             149784100          1099 9.2303E+10   54878208          8
    128068               2          2          8          4          2      32768             1707490985  726716506  423731101  302985405          0             154369400          1100 9.5203E+10   56041472          8
    128069               2        2.2          8          4          2      32768             1755464197  747669606  435870908  311798698          0             158286900          1101 9.7145E+10   57131008          8
    128070               2        1.6          8          4          2      32768             1801392197  770955728  449394052  321561676          0             163390100          1101 1.0174E+11   57827328          8
    128071               2        1.9          8          4          2      32768             1849029014  792529384  462030035  330499349          0             167617300          1103 1.0406E+11   59572224          8
    128072               2        3.2          8          4          2      32768             1898749423  811667181  472631869  339035312          0             171226300          1107 1.0579E+11   61292544          8
    128073               2        2.7          8          4          2      32768             1950910848  828631056  482072904  346558152          0             174972100          1109 1.0735E+11   63250432          8

~~END-OSSTAT~~
Elapsed: 00:00:00.23



~~BEGIN-MAIN-METRICS~~

      snap      dur_m end                  inst     os_cpu os_cpu_max  os_cpu_sd db_wait_ratio db_cpu_ratio  cpu_per_s cpu_per_s_sd h_cpu_per_s h_cpu_per_s_sd        aas     aas_sd    aas_max    db_time db_time_sd sql_res_t_cs bkgd_t_per_s   logons_s logons_total     exec_s   hard_p_s  l_reads_s  commits_s  read_mb_s read_mb_s_max  read_iops read_iops_max   read_bks read_bks_direct write_mb_s write_mb_s_max write_iops write_iops_max  write_bks write_bks_direct  redo_mb_s db_block_gets_s db_block_changes_s gc_cr_rec_s gc_cu_rec_s gc_cr_get_cs gc_cu_get_cs gc_bk_corrupted gc_bk_lost    px_sess    se_sess s_blk_r_lat cell_io_int_mb cell_io_int_mb_max
---------- ---------- -------------- ---------- ---------- ---------- ---------- ------------- ------------ ---------- ------------ ----------- -------------- ---------- ---------- ---------- ---------- ---------- ------------ ------------ ---------- ------------ ---------- ---------- ---------- ---------- ---------- ------------- ---------- ------------- ---------- --------------- ---------- -------------- ---------- -------------- ---------- ---------------- ---------- --------------- ------------------ ----------- ----------- ------------ ------------ --------------- ---------- ---------- ---------- ----------- -------------- ------------------
    128056         61 20/01/12 18:38          2       31.5       85.5       14.5           7.9          117       .009         .008       2.518          1.156          0          0         .1          1        1.2            0           .1         .1         71.8        5.8          0       70.5         .7         .1            .5        7.6          12.7         .2              .1         .1             .3        5.8           24.5        1.1                0          0            26.9               27.1          .1          .5            0            0               0          0          0        2.1          .5           11.9               47.4
    128057         22 20/01/12 19:00          2       32.4       50.6          8             5        118.1       .009          .01       2.591           .641          0          0         .1          1        1.3            0           .8         .1         74.1        6.1         .1      593.9         .2         .1            .2        8.1          16.8         .8              .3         .1             .2          5             12        1.1               .2          0             272               10.1          .1          .1            0            0               0          0          0        2.9          .6           10.9               19.8
    128058         29 20/01/12 19:29          2       35.3       55.9          9           6.9        118.2       .008         .007       2.822           .724          0          0          0         .8         .8            0           .6         .1         74.6        4.7          0       45.5         .2         .1            .3        7.6          16.9         .3              .1         .1             .2        4.8           13.4         .8               .1          0             7.3                8.2           0          .5            0            0               0          0          0        2.6          .7           11.4               30.1
    128059         31 20/01/12 20:00          2       31.1       53.6        9.8           3.6        121.5       .007         .009       2.489           .782          0          0          0         .7         .9            0           .6         .1         73.6        3.1          0       97.9         .1         .1            .3        7.6          16.5         .1              .1          0             .1        3.8            8.9         .6               .1          0            41.5                3.7          .1          .1            0            0               0          0          0        2.5          .1           10.2               24.4
    128060         29 20/01/12 20:29          2       27.9       57.1         11           4.5        126.4       .007         .007       2.232           .876          0          0          0         .7         .8            0           .6         .1         72.2        4.3          0         42         .2         .1            .3        7.5          16.1          0               0         .1             .1        4.4           10.7         .6                0          0               6                6.3           0          .1            0            0               0          0          0        2.5          .1           10.6               20.3
    128061         31 20/01/12 21:00          2       24.9       46.1        7.6             4        125.3       .006         .007       1.993           .612          0          0          0         .6         .7            0           .9         .1           75        2.6          0       87.9         .1         .1            .3        7.6          17.4         .1              .1         .1             .1        4.6           11.4         .5               .1          0            34.5                3.3          .1          .1            0           .1               0          0          0        2.8           0           10.8               25.2
    128062         30 20/01/12 21:30          2       25.5         52        8.5           7.1        124.2       .006         .006       2.036           .679          0          0          0         .6         .6            0           .6         .1         74.3        3.6          0       29.3         .1         .1            .3        7.7          16.7         .2               0         .1             .1        4.6           11.8         .6                0          0             4.4                4.1          .1          .1            0            0               0          0          0        2.6           0           10.9               20.5
    128063         30 20/01/12 22:00          2       24.5       53.2        7.6           2.7        126.3       .007         .007        1.96            .61          0          0          0         .6         .7            0           .6         .1         73.1        3.8          0       36.3         .2         .1            .3        7.4          16.7          0               0         .1             .1        4.7             11         .6                0          0             5.4                5.5          .1          .1            0           .1               0          0          0        2.8           0           10.8               20.2
    128064         30 20/01/12 22:30          2       28.4       66.5       12.3           3.7        127.4       .007         .006       2.275           .986          0          0          0         .6         .6            0           .6         .1         73.9        4.1          0       35.6         .2         .1            .3        7.6          16.4         .1              .1         .1             .1        4.7            9.7         .6               .1          0             4.6                4.6           0           0            0            0               0          0          0        2.6           0           10.9               22.7
    128065         30 20/01/12 23:00          2       25.7       68.1       12.1           4.1        129.9       .007         .007       2.056           .972          0          0          0         .7         .8            0           .6         .1         73.1        3.7          0       30.3         .2         .1            .3        7.5          16.3         .1              .1         .1             .1        4.7            9.9         .5               .1          0               5                5.2          .1          .1            0            0               0          0          0        2.7           0           10.8               20.6
    128066         29 20/01/12 23:29          2       23.8       38.1        6.3           4.4        122.8       .007         .005       1.906           .506          0          0          0         .6         .6            0           .6         .1           72          4          0       30.3         .2         .1            .3        7.5          16.2          0               0         .1             .1        4.7           12.8         .6                0          0             4.2                4.2           0           0            0            0               0          0          0        2.7          .1           10.9               20.7
    128067         61 20/01/13 23:37          2       31.1       60.4       10.6           7.9        117.4       .021         .048       2.488            .85         .1         .2         .8        5.3       16.5           .3           .1         .1         72.3        3.7          0     5982.9         .2         .2           1.4       13.3         166.9        6.2               1         .1             .4        5.2             13          1               .5          0          2976.3               10.5          .2          .2            0            0               0          0          0        2.2          .3           14.5               84.6
    128068         61 20/01/14 23:41          2         26       48.6          9           4.3        125.3       .007         .007       2.081           .724          0          0          0         .7         .8            0           .1         .1         73.9        3.5          0       19.4         .2         .1            .3        7.1             9          0               0         .1             .1        4.4            5.5         .3                0          0             2.7                2.9          .1          .1            0            0               0          0          0        2.1          .5           10.1               20.7
    128069         61 20/01/15 23:37          2       29.1       57.9       10.4           6.2        120.5       .009         .011       2.329           .836          0          0         .3        1.3        3.4           .1           .1         .1         71.8        3.2          0      905.5         .2         .1            .3        7.4          11.6         .2              .2         .1             .1        4.7           10.2         .4               .1          0           390.1                3.8          .2          .2            0            0               0          0          0        2.1          .1           10.5               20.4
    128070         61 20/01/16 23:39          2       25.1       53.2        8.3           4.3        120.2       .008         .007       2.008           .668          0          0          0         .7         .8            0           .1         .1         72.3        3.9          0       70.1         .2         .1            .3        7.3           9.9         .1              .1          0             .1        4.2            6.7         .3               .1          0             3.1                3.4           0           0            0            0               0          0          0        2.1          .1             10               20.3
    128071         61 20/01/17 23:41          2       33.4       59.3         10           3.8        122.2       .008         .008       2.674           .799          0          0          0         .7         .9            0           .1         .1         70.6        3.3          0       68.7         .2         .1            .3        7.3           9.7         .1              .1          0             .1        4.3            6.7         .3               .1          0             2.8                  3           0           0            0            0               0          0          0        2.1          .1           10.2               19.9
    128072         61 20/01/18 23:35          2         27       62.8       11.5           8.8        112.8       .008         .007       2.157           .916          0          0         .1         .9        1.5            0           .1         .1         70.6        3.9          0      221.4         .2         .1            .4        7.8          42.3         .7              .2          0             .1        4.2            6.5         .4               .1          0            98.2                4.2          .1          .1           .1            0               0          0          0        2.1          .2           10.7               27.7
    128073         61 20/01/19 23:36          2       22.7       43.9        7.6           3.2        127.5       .006         .007       1.818           .608          0          0          0         .6         .7            0           .1         .1         67.4        2.7          0       17.4         .1         .1            .3        7.2           9.5          0               0         .1             .1        4.3            6.4         .2                0          0             2.2                2.4          .1           0           .1            0               0          0          0        2.2           0           10.3               20.2

~~END-MAIN-METRICS~~
Elapsed: 00:00:00.34



~~BEGIN-DATABASE-PARAMETERS~~

PARAMETER_NAME                                                   VALUE
---------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
O7_DICTIONARY_ACCESSIBILITY                                      FALSE
__db_cache_size                                                  3103784960
__dg_broker_service_names
__java_pool_size                                                 16777216
__large_pool_size                                                50331648
__oracle_base                                                    /d01/app/biprd
__pga_aggregate_target                                           2147483648
__sga_target                                                     4294967296
__shared_io_pool_size                                            0
__shared_pool_size                                               1090519040
__streams_pool_size                                              0
active_instance_count
aq_tm_processes                                                  1
archive_lag_target                                               1800
asm_diskgroups
asm_diskstring
asm_power_limit                                                  1
asm_preferred_read_failure_groups
audit_file_dest                                                  /d01/app/biprd/admin/PHPPRD/adump
audit_sys_operations                                             FALSE
audit_syslog_level
audit_trail                                                      DB
awr_snapshot_time_offset                                         0
background_core_dump                                             partial
background_dump_dest                                             /d01/app/biprd/diag/rdbms/phpprd/PHPPRD2/trace
backup_tape_io_slaves                                            FALSE
bitmap_merge_area_size                                           1048576
blank_trimming                                                   FALSE
buffer_pool_keep
buffer_pool_recycle
cell_offload_compaction                                          ADAPTIVE
cell_offload_decryption                                          TRUE
cell_offload_parameters
cell_offload_plan_display                                        AUTO
