   SNAP_ID INSTANCE_NUMBER        SGA        PGA      TOTAL
---------- --------------- ---------- ---------- ----------
     46564               1        5.8         .3        6.1
     46565               1        5.8         .3        6.1
     46566               1        5.8         .3        6.1
     46567               1        5.8         .3        6.1
     46568               1        5.8         .3        6.1
     46569               1        5.8         .3        6.1
     46570               1        5.8         .3        6.1
     46571               1        5.8         .3        6.1
     46572               1        5.8         .3        6.1
     46573               1        5.8         .3        6.1
     46574               1        5.8         .3        6.1
     46575               1        5.8         .3        6.1
     46576               1        5.8         .3        6.1
     46577               1        5.8         .3        6.1
     46578               1        5.8         .3        6.1
     46579               1        5.8         .3        6.1
     46580               1        5.8         .3        6.1
     46581               1        5.8         .3        6.1
     46582               1        5.8         .3        6.1
     46583               1        5.8         .3        6.1
     46584               1        5.8         .3        6.1
     46585               1        5.8         .3        6.1
     46586               1        5.8         .3        6.1
     46587               1        5.8         .3        6.1
     46588               1        5.8         .3        6.1
     46589               1        5.8         .3        6.1
     46590               1        5.8         .3        6.1
     46591               1        5.8         .3        6.1
     46592               1        5.8         .3        6.1
     46593               1        5.8         .3        6.1
     46594               1        5.8         .3        6.1
     46595               1        5.8         .3        6.1
     46596               1        5.8         .3        6.1
     46597               1        5.8         .3        6.1
     46598               1        5.8         .3        6.1
     46599               1        5.8         .3        6.1
     46600               1        5.8         .3        6.1
     46601               1        5.8         .3        6.1
     46602               1        5.8         .3        6.1
     46603               1        5.8         .3        6.1
     46604               1        5.8         .3        6.1
     46605               1        5.8         .3        6.1
     46606               1        5.8         .3        6.1
     46607               1        5.8         .3        6.1
     46608               1        5.8         .3        6.1
     46609               1        5.8         .3        6.1
     46610               1        5.8         .3        6.1
     46611               1        5.8         .3        6.1
     46612               1        5.8         .3        6.1
     46613               1        5.8         .3        6.1
     46614               1        5.8         .3        6.1
     46615               1        5.8         .3        6.1
     46616               1        5.8         .3        6.1
     46617               1        5.8         .3        6.1
     46618               1        5.8         .3        6.1
     46619               1        5.8         .3        6.1
     46620               1        5.8         .3        6.1
     46621               1        5.8         .3        6.1
     46622               1        5.8         .3        6.1
     46623               1        5.8         .3        6.1
     46624               1        5.8         .3        6.1
     46625               1        5.8         .3        6.1
     46626               1        5.8         .3        6.1
     46627               1        5.8         .3        6.1
     46628               1        5.8         .3        6.1
     46629               1        5.8         .3        6.1
     46630               1        5.8         .3        6.1
     46631               1        5.8         .3        6.1
     46632               1        5.8         .3        6.1
     46633               1        5.8         .3        6.1
     46634               1        5.8         .3        6.1
     46635               1        5.8         .3        6.1
     46636               1        5.8         .3        6.1
     46637               1        5.8         .3        6.1
     46638               1        5.8         .3        6.1
     46639               1        5.8         .3        6.1
     46640               1        5.8         .3        6.1
     46641               1        5.8         .3        6.1
     46642               1        5.8         .3        6.1
     46643               1        5.8         .3        6.1
     46644               1        5.8         .3        6.1
     46645               1        5.8         .3        6.1
     46646               1        5.8         .3        6.1
     46647               1        5.8         .3        6.1
     46648               1        5.8         .3        6.1
     46649               1        5.8         .3        6.1
     46650               1        5.8         .3        6.1
     46651               1        5.8         .3        6.1
     46652               1        5.8         .5        6.3
     46653               1        5.8         .5        6.3
     46654               1        5.8         .5        6.3
     46655               1        5.8         .5        6.3
     46656               1        5.8         .5        6.3

~~END-MEMORY~~
Elapsed: 00:00:00.05



~~BEGIN-MEMORY-SGA-ADVICE~~

   SNAP_ID INSTANCE_NUMBER SGA_TARGET_GB SIZE_FACTOR ESTD_PHYSICAL_READS LEAD_READ_DIFF
---------- --------------- ------------- ----------- ------------------- --------------
     46530               1           2.3        .375              896817         657173
     46530               1             3          .5              239644          39687
     46530               1           3.8        .625              199957             20
     46530               1             6           1              199937              0
     46530               1            12           2              199937              0
     46547               1           1.5         .25               46453              0
     46547               1             6           1               46453              0
     46547               1            12           2               46453              0
     46573               1           2.3        .375              387742         105788
     46573               1             3          .5              281954           2238
     46573               1             6           1              279716              0
     46573               1            12           2              279716              0
     46585               1           2.3        .375              476308         187705
     46585               1             3          .5              288603           5103
     46585               1             6           1              283500              0
     46585               1            12           2              283500              0
     46637               1           2.3        .375             1303297         960582
     46637               1             3          .5              342715          51117
     46637               1             6           1              291598              0
     46637               1            12           2              291598              0
     46652               1           2.3        .375             1417684        1061669
     46652               1             3          .5              356015          59509
     46652               1             6           1              296506              0
     46652               1            12           2              296506              0
     46653               1           2.3        .375             1417994        1061894
     46653               1             3          .5              356100          59523
     46653               1             6           1              296577              0
     46653               1            12           2              296577              0
     46654               1           2.3        .375             1417937        1061814
     46654               1             3          .5              356123          59502
     46654               1             6           1              296621              0
     46654               1            12           2              296621              0
     46655               1           2.3        .375             1419463        1063314
     46655               1             3          .5              356149          59482
     46655               1             6           1              296667              0
     46655               1            12           2              296667              0
     46656               1           2.3        .375             1419654        1063420
     46656               1             3          .5              356234          59496
     46656               1             6           1              296738              0
     46656               1            12           2              296738              0

~~END-MEMORY-SGA-ADVICE~~
Elapsed: 00:00:00.06



~~BEGIN-MEMORY-PGA-ADVICE~~

   SNAP_ID INSTANCE_NUMBER PGA_TARGET_GB SIZE_FACTOR ESTD_EXTRA_MB_RW LEAD_SIZE_DIFF_MB ESTD_PGA_CACHE_HIT_PERCENTAGE
---------- --------------- ------------- ----------- ---------------- ----------------- -----------------------------
     46530               1            .2        .125           8924.7            7542.4                            90
     46530               1            .5         .25           1382.3             236.7                            98
     46530               1             2           1           1145.6                 0                            99
     46530               1          15.6           8           1145.6                 0                            99
     46547               1            .2        .125             40.4                 0                            89
     46547               1            .5         .25             40.4              40.4                            89
     46547               1             2           1                0                 0                           100
     46547               1          15.6           8                0                 0                           100
     46573               1            .2        .125            880.5             840.1                            95
     46573               1            .5         .25             40.4              40.4                           100
     46573               1             2           1                0                 0                           100
     46573               1          15.6           8                0                 0                           100
     46585               1            .2        .125             1297            1215.7                            95
     46585               1            .5         .25             81.3              81.3                           100
     46585               1             2           1                0                 0                           100
     46585               1          15.6           8                0                 0                           100
     46637               1            .2        .125           3144.4            2981.7                            94
     46637               1            .5         .25            162.7             162.7                           100
     46637               1             2           1                0                 0                           100
     46637               1          15.6           8                0                 0                           100
     46652               1            .2        .125           3550.1            3339.7                            95
     46652               1            .5         .25            210.4             210.4                           100
     46652               1             2           1                0                 0                           100
     46652               1          15.6           8                0                 0                           100
     46653               1            .2        .125           3616.8            3361.7                            95
     46653               1            .5         .25            255.2             255.2                           100
     46653               1             2           1                0                 0                           100
     46653               1          15.6           8                0                 0                           100
     46654               1            .2        .125           3623.6            3368.4                            95
     46654               1            .5         .25            255.2             255.2                           100
     46654               1             2           1                0                 0                           100
     46654               1          15.6           8                0                 0                           100
     46655               1            .2        .125           3632.4            3377.2                            95
     46655               1            .5         .25            255.2             255.2                           100
     46655               1             2           1                0                 0                           100
     46655               1          15.6           8                0                 0                           100
     46656               1            .2        .125           3638.7            3383.5                            95
     46656               1            .5         .25            255.2             255.2                           100
