   SNAP_ID INSTANCE_NUMBER        SGA        PGA      TOTAL
---------- --------------- ---------- ---------- ----------
     47709               1        4.5         .7        5.2
     47709               2        4.6         .4          5
     47710               1        4.5         .7        5.2
     47710               2        4.6         .4          5
     47711               1        4.5         .7        5.2
     47711               2        4.6         .4          5
     47712               1        4.5         .7        5.2
     47712               2        4.6         .4          5
     47713               1        4.5         .7        5.2
     47713               2        4.6         .4          5
     47714               1        4.5         .6        5.1
     47714               2        4.6         .3        4.9
     47715               1        4.5         .6        5.1
     47715               2        4.6         .3        4.9
     47716               1        4.5         .6        5.1
     47716               2        4.6         .4          5
     47717               1        4.5         .7        5.2
     47717               2        4.6         .4          5
     47718               1        4.5         .7        5.2
     47718               2        4.6         .3        4.9
     47719               1        4.5         .7        5.2
     47719               2        4.6         .4          5
     47720               1        4.5         .7        5.2
     47720               2        4.6         .4          5
     47721               1        4.5         .7        5.2
     47721               2        4.6         .4          5
     47722               1        4.5         .7        5.2
     47722               2        4.6         .4          5
     47723               1        4.5         .7        5.2
     47723               2        4.6         .4          5
     47724               1        4.5         .7        5.2
     47724               2        4.6         .4          5
     47725               1        4.5         .7        5.2
     47725               2        4.6         .4          5
     47726               1        4.5         .7        5.2
     47726               2        4.6         .4          5
     47727               1        4.5         .7        5.2
     47727               2        4.6         .4          5
     47728               1        4.5         .7        5.2
     47728               2        4.6         .4          5
     47729               1        4.5         .7        5.2
     47729               2        4.5         .4        4.9
     47730               1        4.5         .7        5.2
     47730               2        4.5         .4        4.9
     47731               1        4.5         .7        5.2
     47731               2        4.5         .4        4.9
     47732               1        4.5         .7        5.2
     47732               2        4.5         .4        4.9
     47733               1        4.5         .7        5.2
     47733               2        4.5         .4        4.9
     47734               1        4.5         .7        5.2
     47734               2        4.5         .4        4.9
     47735               1        4.5         .7        5.2
     47735               2        4.5         .4        4.9
     47736               1        4.5         .7        5.2
     47736               2        4.5         .4        4.9
     47737               1        4.5         .7        5.2
     47737               2        4.5         .4        4.9
     47738               1        4.5         .7        5.2
     47738               2        4.5         .4        4.9
     47739               1        4.5         .7        5.2
     47739               2        4.5         .4        4.9
     47740               1        4.5         .7        5.2
     47740               2        4.5         .4        4.9
     47741               1        4.5         .7        5.2
     47741               2        4.5         .4        4.9
     47742               1        4.5         .7        5.2
     47742               2        4.5         .4        4.9
     47743               1        4.5         .7        5.2
     47743               2        4.5         .4        4.9
     47744               1        4.5         .7        5.2
     47744               2        4.5         .4        4.9
     47745               1        4.5         .7        5.2
     47745               2        4.5         .4        4.9
     47746               1        4.5         .7        5.2
     47746               2        4.5         .4        4.9
     47747               1        4.5         .7        5.2
     47747               2        4.5         .4        4.9
     47748               1        4.5         .7        5.2
     47748               2        4.5         .4        4.9
     47749               1        4.5         .7        5.2
     47749               2        4.5         .4        4.9
     47750               1        4.5         .7        5.2
     47750               2        4.5         .4        4.9
     47751               1        4.5         .7        5.2
     47751               2        4.5         .4        4.9
     47752               1        4.5         .7        5.2
     47752               2        4.5         .4        4.9
     47753               1        4.5         .7        5.2
     47753               2        4.5         .4        4.9
     47754               1        4.5         .7        5.2
     47754               2        4.5         .4        4.9
     47755               1        4.5         .7        5.2
     47755               2        4.5         .4        4.9
     47756               1        4.5         .7        5.2
     47756               2        4.5         .4        4.9
     47757               1        4.5         .7        5.2
     47757               2        4.5         .4        4.9
     47758               1        4.5         .7        5.2
     47758               2        4.5         .4        4.9
     47759               1        4.5         .7        5.2
     47759               2        4.5         .4        4.9
     47760               1        4.5         .7        5.2
     47760               2        4.5         .4        4.9
     47761               1        4.5         .7        5.2
     47761               2        4.5         .4        4.9
     47762               1        4.5         .7        5.2
     47762               2        4.5         .4        4.9
     47763               1        4.5         .7        5.2
     47763               2        4.5         .4        4.9
     47764               1        4.5         .7        5.2
     47764               2        4.5         .4        4.9
     47765               1        4.5         .7        5.2
     47765               2        4.5         .4        4.9
     47766               1        4.5         .7        5.2
     47766               2        4.5         .4        4.9
     47767               1        4.5         .7        5.2
     47767               2        4.5         .4        4.9
     47768               1        4.5         .7        5.2
     47768               2        4.5         .4        4.9
     47769               1        4.5         .7        5.2
     47769               2        4.5         .4        4.9
     47770               1        4.5         .7        5.2
     47770               2        4.5         .4        4.9
     47771               1        4.5         .7        5.2
     47771               2        4.5         .4        4.9
     47772               1        4.5         .6        5.1
     47772               2        4.5         .4        4.9
     47773               1        4.5         .7        5.2
     47773               2        4.5         .4        4.9
     47774               1        4.5         .7        5.2
     47774               2        4.5         .4        4.9
     47775               1        4.5         .7        5.2
     47775               2        4.5         .4        4.9
     47776               1        4.5         .7        5.2
     47776               2        4.5         .4        4.9
     47777               1        4.5         .7        5.2
     47777               2        4.5         .4        4.9
     47778               1        4.5         .7        5.2
     47778               2        4.5         .4        4.9
     47779               1        4.5         .7        5.2
     47779               2        4.5         .4        4.9
     47780               1        4.5         .7        5.2
     47780               2        4.5         .4        4.9
     47781               1        4.5         .7        5.2
     47781               2        4.5         .4        4.9
     47782               1        4.5         .7        5.2
     47782               2        4.5         .4        4.9
     47783               1        4.5         .7        5.2
     47783               2        4.5         .4        4.9
     47784               1        4.5         .7        5.2
     47784               2        4.5         .4        4.9
     47785               1        4.5         .7        5.2
     47785               2        4.5         .4        4.9
     47786               1        4.5         .7        5.2
     47786               2        4.5         .4        4.9
     47787               1        4.5         .7        5.2
     47787               2        4.5         .4        4.9
     47788               1        4.5         .7        5.2
     47788               2        4.5         .4        4.9
     47789               1        4.5         .7        5.2
     47789               2        4.5         .4        4.9
     47790               1        4.5         .7        5.2
     47790               2        4.5         .4        4.9
     47791               1        4.5         .7        5.2
     47791               2        4.5         .4        4.9
     47792               1        4.5         .7        5.2
     47792               2        4.5         .4        4.9
     47793               1        4.5         .7        5.2
     47793               2        4.5         .4        4.9
     47794               1        4.5         .7        5.2
     47794               2        4.5         .4        4.9
     47795               1        4.5         .7        5.2
     47795               2        4.5         .4        4.9
     47796               1        4.5         .7        5.2
     47796               2        4.5         .4        4.9
     47797               1        4.5         .7        5.2
     47797               2        4.5         .4        4.9
     47798               1        4.5         .7        5.2
     47798               2        4.5         .4        4.9
     47799               1        4.5         .7        5.2
     47799               2        4.5         .4        4.9
     47800               1        4.5         .7        5.2
     47800               2        4.5         .4        4.9
     47801               1        4.5         .7        5.2
     47801               2        4.5         .4        4.9
     47802               1        4.5         .7        5.2
     47802               2        4.5         .4        4.9
     47803               1        4.5         .7        5.2
     47803               2        4.5         .4        4.9
     47804               1        4.5         .7        5.2
     47804               2        4.5         .4        4.9
     47805               1        4.5         .7        5.2
     47805               2        4.5         .4        4.9
     47806               1        4.5         .7        5.2
     47806               2        4.5         .4        4.9
     47807               1        4.5         .7        5.2
     47807               2        4.5         .4        4.9
     47808               1        4.5         .7        5.2
     47808               2        4.5         .4        4.9
     47809               1        4.5         .7        5.2
     47809               2        4.5         .4        4.9
     47810               1        4.5         .7        5.2
     47810               2        4.5         .4        4.9
     47811               1        4.5         .6        5.1
     47811               2        4.5         .4        4.9
     47812               1        4.5         .7        5.2
     47812               2        4.5         .4        4.9
     47813               1        4.5         .7        5.2
     47813               2        4.5         .4        4.9
     47814               1        4.5         .7        5.2
     47814               2        4.5         .4        4.9
     47815               1        4.5         .7        5.2
     47815               2        4.5         .4        4.9
     47816               1        4.5         .7        5.2
     47816               2        4.5         .4        4.9
     47817               1        4.5         .7        5.2
     47817               2        4.5         .4        4.9
     47818               1        4.5         .7        5.2
     47818               2        4.5         .4        4.9
     47819               1        4.5         .7        5.2
     47819               2        4.5         .4        4.9
     47820               1        4.5         .7        5.2
     47820               2        4.5         .4        4.9
     47821               1        4.5         .7        5.2
     47821               2        4.5         .4        4.9
     47822               1        4.5         .7        5.2
     47822               2        4.5         .4        4.9
     47823               1        4.5         .7        5.2
     47823               2        4.5         .4        4.9
     47824               1        4.5         .7        5.2
     47824               2        4.5         .4        4.9
     47825               1        4.5         .7        5.2
     47825               2        4.5         .4        4.9
     47826               1        4.5         .7        5.2
     47826               2        4.5         .4        4.9
     47827               1        4.5         .7        5.2
     47827               2        4.5         .4        4.9
     47828               1        4.5         .7        5.2
     47828               2        4.5         .4        4.9
     47829               1        4.5         .7        5.2
     47829               2        4.5         .4        4.9
     47830               1        4.5         .7        5.2
     47830               2        4.5         .4        4.9
     47831               1        4.5         .7        5.2
     47831               2        4.5         .4        4.9
     47832               1        4.5         .7        5.2
     47832               2        4.5         .4        4.9
     47833               1        4.5         .7        5.2
     47833               2        4.5         .4        4.9
     47834               1        4.5         .7        5.2
     47834               2        4.5         .4        4.9
     47835               1        4.5         .7        5.2
     47835               2        4.5         .4        4.9
     47836               1        4.5         .7        5.2
     47836               2        4.5         .4        4.9
     47837               1        4.5         .7        5.2
     47837               2        4.5         .4        4.9
     47838               1        4.5         .7        5.2
     47838               2        4.5         .4        4.9
     47839               1        4.5         .7        5.2
     47839               2        4.5         .4        4.9
     47840               1        4.5         .7        5.2
     47840               2        4.5         .4        4.9
     47841               1        4.5         .7        5.2
     47841               2        4.5         .4        4.9
     47842               1        4.5         .7        5.2
     47842               2        4.5         .4        4.9
     47843               1        4.5         .7        5.2
     47843               2        4.5         .4        4.9
     47844               1        4.5         .7        5.2
     47844               2        4.5         .4        4.9
     47845               1        4.5         .7        5.2
     47845               2        4.5         .4        4.9
     47846               1        4.5         .7        5.2
     47846               2        4.5         .4        4.9
     47847               1        4.5         .7        5.2
     47847               2        4.5         .4        4.9
     47848               1        4.5         .7        5.2
     47848               2        4.5         .4        4.9
     47849               1        4.5         .7        5.2
     47849               2        4.5         .4        4.9
     47850               1        4.5         .7        5.2
     47850               2        4.5         .4        4.9
     47851               1        4.5         .7        5.2
     47851               2        4.5         .4        4.9
     47852               1        4.5         .7        5.2
     47852               2        4.5         .4        4.9
     47853               1        4.5         .6        5.1
     47853               2        4.5         .4        4.9
     47854               1        4.5         .7        5.2
     47854               2        4.5         .4        4.9
     47855               1        4.5         .7        5.2
     47855               2        4.5         .4        4.9
     47856               1        4.5         .7        5.2
     47856               2        4.5         .4        4.9
     47857               1        4.5         .7        5.2
     47857               2        4.5         .4        4.9

~~END-MEMORY~~
Elapsed: 00:00:00.06



~~BEGIN-MEMORY-SGA-ADVICE~~

   SNAP_ID INSTANCE_NUMBER SGA_TARGET_GB SIZE_FACTOR ESTD_PHYSICAL_READS LEAD_READ_DIFF
---------- --------------- ------------- ----------- ------------------- --------------
     47754               1           2.5          .5             6723594              0
     47754               1           3.1        .625             6723594        1148787
     47754               1           3.8         .75             5574807        4150271
     47754               1           4.4        .875             1424536         310399
     47754               1             5           1             1114137          10807
     47754               1           5.6       1.125             1103330          13815
     47754               1           6.3        1.25             1089515           6128
     47754               1           7.5         1.5             1103330          44900
     47754               1           8.1       1.625             1058430          27073
     47754               1           8.8        1.75             1031357           4791
     47754               1            10           2             1026566              0
     47754               2           1.9        .375              319749         178115
     47754               2           2.5          .5              141634            873
     47754               2           3.8         .75              389067         206673
     47754               2           4.4        .875              182394          41647
     47754               2             5           1              140747              0
     47754               2           5.6       1.125              140747           4673
     47754               2            10           2              136074              0
     47773               1           2.5          .5             6873736              0
     47773               1           3.1        .625             6873736        1173967
     47773               1           3.8         .75             5699769        4243288
     47773               1           4.4        .875             1456481         342026
     47773               1             5           1             1114455         -14154
     47773               1           5.6       1.125             1128609          14154
     47773               1           6.3        1.25             1114455           6241
     47773               1           7.5         1.5             1128609          45916
     47773               1           8.1       1.625             1082693          27638
     47773               1           8.8        1.75             1055055           4904
     47773               1            10           2             1050151              0
     47773               2           1.9        .375              343269          94616
     47773               2           2.5          .5              248653         105653
     47773               2           3.8         .75              417350         228618
     47773               2           4.4        .875              188732          46131
     47773               2             5           1              142601             14
     47773               2           5.6       1.125              142587           4464
     47773               2            10           2              138123              0
     47778               1           2.5          .5             6801992              0
     47778               1           3.1        .625             6801992        1163942
     47778               1           3.8         .75             5638050        4198828
     47778               1           4.4        .875             1439222         323373
     47778               1             5           1             1115849          10824
     47778               1           5.6       1.125             1105025          14059
     47778               1           6.3        1.25             1090966           6249
     47778               1           7.5         1.5             1105025          45192
     47778               1           8.1       1.625             1059833          27003
     47778               1           8.8        1.75             1032830           4910
     47778               1            10           2             1027920              0
     47778               2           1.9        .375              351288          99388
     47778               2           2.5          .5              251900         108309
     47778               2           3.8         .75              428224         237567
     47778               2           4.4        .875              190657          47467
     47778               2             5           1              143190             14
     47778               2           5.6       1.125              143176           4468
     47778               2            10           2              138708              0
     47797               1           2.5          .5             6850202              0
     47797               1           3.1        .625             6850202        1170869
     47797               1           3.8         .75             5679333        4238350
     47797               1           4.4        .875             1440983         323422
     47797               1             5           1             1117561          10840
     47797               1           5.6       1.125             1106721          14082
     47797               1           6.3        1.25             1092639           6258
     47797               1           7.5         1.5             1106721          45262
     47797               1           8.1       1.625             1061459          27045
     47797               1           8.8        1.75             1034414           4917
     47797               1            10           2             1029497              0
     47797               2           1.9        .375              354340         101421
     47797               2           2.5          .5              252919         108970
     47797               2           3.8         .75              435537         244609
     47797               2           4.4        .875              190928          47395
     47797               2             5           1              143533             14
     47797               2           5.6       1.125              143519           4464
     47797               2            10           2              139055              0
     47802               1           2.5          .5             6879112              0
     47802               1           3.1        .625             6879112        1178765
     47802               1           3.8         .75             5700347        4258317
     47802               1           4.4        .875             1442030         323657
     47802               1             5           1             1118373          10736
     47802               1           5.6       1.125             1107637          14092
     47802               1           6.3        1.25             1093545           6375
     47802               1           7.5         1.5             1107637          45518
     47802               1           8.1       1.625             1062119          26953
     47802               1           8.8        1.75             1035166           4921
     47802               1            10           2             1030245              0
     47802               2           1.9        .375              384630         108967
     47802               2           2.5          .5              275663         131070
